"","glottocode","GB020c","GB021c","GB022c","GB023c","GB024ri","GB025ri","GB026","GB027","GB028","GB030","GB031","GB035","GB036","GB037","GB038c","GB039c","GB041c","GB046","GB047","GB048","GB049","GB051c","GB052c","GB053c","GB054c","GB057c","GB058","GB059","GB065ri","GB068","GB069","GB074c","GB075c","GB081","GB082c","GB083c","GB084c","GB095","GB096","GB098","GB099","GB103","GB104","GB105","GB107","GB108","GB109","GB110c","GB111","GB113","GB116","GB117","GB118","GB122","GB123","GB124","GB126","GB127","GB129","GB130ri","GB131","GB132","GB133","GB134","GB135","GB136","GB137","GB138","GB139","GB140","GB146","GB147c","GB148c","GB149","GB150","GB151","GB152","GB155","GB156","GB158","GB159","GB167","GB177","GB192c","GB193ri","GB196","GB197","GB198c","GB203ri","GB204","GB250","GB251m","GB252c","GB253c","GB254c","GB256","GB257","GB260","GB262c","GB263c","GB264c","GB265","GB266","GB270","GB273","GB275c","GB276c","GB285cc","GB286c","GB291c","GB296","GB297","GB298","GB299","GB300","GB301","GB302c","GB303c","GB304c","GB309c","GB313","GB321c","GB322c","GB323c","GB324","GB325","GB326","GB327","GB328","GB329c","GB330c","GB331","GB333","GB334","GB335","GB336","GB401","GB402","GB403","GB408","GB409","GB410","GB415","GB421c","GB422c","GB430c","GB431c","GB432c","GB433c","GB480m","GB500drm","GB501drm","GB510m","GB522","GB549drmc","GB550m","GB551m","GB552m","GB553drmc","GB555m","GB556m","GB557drm","GB558drm","GB559drm","GB560drmc","GB561drmc","GB563m","GB567drm","GB568drm","GB569drmc","GB590m","GB591m","GB595m","GB606m","GB620drmc","GB621drmc","GB622drmc","GB623drmc","GB624drmc","GB625m","GB701drm","GB702drm","GB703drmc","GB704drm","GB777drm","GB800m","GB850drm","GB851drm","GB852drm","GB853drm","GB887drmc","GB888drmc","GB945m","GB947mc","GB949m","GB950m","GB951drmc","GB952drmc","GB953drmc","GB954drmc","GB955drmc","GB990drmc","GB991drmc"
"11","achi1256","1","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","0","?","?","1","1","NA","NA","NA","NA","1","0","1","2","1","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","?","1","1","0","0","?","0","?","0","0","?","0","1","0","1","0","1","1","1","0","1","?","?","?","NA","1","0","0","0","0","1","0","0","0","0","0","NA","NA","0","0","NA","?","?","0","1","0","0","1","0","0","0","1","0","0","?","?","?","?","?","?","NA","NA","NA","?","0","0","1","?","0","NA","0","NA","?","0","NA","0","1","0","?","0","1","0","NA","NA","0","?","?","?","?","?","?","?","0","0","1","1","?","?","NA","1","NA","1","1","1","0","?","1","1","1","0","1","0","0","1","1","1","1","NA","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","0","?","NA","?","1","?","1","1","0","1","1","0","1","NA","0","1","1","0","0","0","1","1","0"
"12","achi1257","NA","NA","NA","NA","1","2","0","0","1","0","0","1","0","0","0","NA","NA","0","1","0","0","NA","NA","NA","NA","1","0","0","2","1","1","1","1","1","NA","NA","NA","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","?","0","0","1","0","0","1","0","1","0","1","1","1","0","0","1","?","1","0","NA","0","0","0","0","1","0","1","1","0","0","NA","2","0","0","NA","NA","1","1","0","NA","NA","NA","0","1","0","NA","NA","NA","0","0","0","1","0","1","NA","NA","NA","0","0","0","1","0","0","1","NA","1","NA","0","NA","NA","NA","0","0","0","1","0","NA","NA","0","?","0","0","0","0","0","0","1","1","1","1","NA","NA","NA","0","NA","1","0","0","1","0","1","NA","0","0","1","NA","1","0","0","1","1","NA","NA","1","0","0","NA","0","1","0","0","1","1","0","1","1","1","0","0","NA","0","0","1","1","1","1","1","NA","NA","0","NA","0","0","NA","NA","NA","NA","NA","NA","NA"
"13","achu1247","0","1","1","0","?","?","?","0","1","0","1","?","?","?","?","?","?","0","1","1","0","NA","NA","NA","NA","?","?","?","1","?","0","NA","NA","?","?","?","?","?","?","?","?","1","1","?","1","1","?","?","1","?","?","?","?","?","?","?","0","?","0","?","1","0","0","?","?","?","0","0","?","?","?","1","NA","0","?","?","?","1","0","?","?","?","?","NA","1","0","0","NA","?","?","?","?","?","?","?","?","0","?","1","0","0","0","0","0","1","1","0","?","?","?","?","?","1","?","?","?","0","NA","?","?","?","NA","?","?","0","?","?","?","?","?","?","?","1","1","0","0","?","?","?","1","0","1","?","?","?","0","NA","1","NA","1","0","?","?","1","1","1","0","?","1","1","0","?","1","1","NA","?","0","0","?","0","1","0","?","?","1","1","?","1","?","1","0","?","NA","?","1","1","1","1","1","0","1","1","?","?","?","1","?","?","?","?","?","?","?"
"14","achu1248","NA","NA","NA","NA","NA","1","0","1","0","0","0","0","0","0","NA","NA","NA","0","1","1","1","NA","NA","NA","NA","NA","0","1","1","1","0","NA","NA","0","0","1","1","0","0","1","0","1","0","1","1","1","0","0","0","1","0","1","?","0","0","0","0","0","0","1","0","0","1","1","1","0","1","0","1","1","0","NA","NA","0","1","1","1","1","0","1","1","0","0","NA","NA","0","0","NA","NA","?","1","0","NA","NA","NA","0","0","0","NA","NA","NA","?","?","?","?","0","1","NA","1","0","0","0","0","0","0","0","NA","NA","NA","1","0","NA","?","?","0","0","0","1","0","NA","NA","0","0","1","0","0","?","0","0","1","0","1","0","?","?","0","0","1","1","1","0","0","?","1","1","0","0","0","1","0","0","1","1","1","NA","NA","0","0","0","NA","1","1","?","0","1","1","1","0","1","1","1","0","NA","1","1","1","1","1","1","0","1","1","0","1","1","0","NA","NA","NA","NA","NA","NA","NA"
"15","adan1251","1","0","0","1","2","2","0","0","1","0","0","1","1","1","0","NA","NA","0","?","?","?","NA","NA","NA","NA","1","0","1","1","1","1","NA","NA","0","NA","NA","NA","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","?","0","1","0","0","1","1","1","0","1","0","1","0","1","NA","NA","0","0","0","0","1","0","0","0","0","0","NA","2","0","0","NA","2","1","0","1","0","0","1","0","1","0","NA","NA","NA","0","0","0","0","0","1","NA","NA","NA","?","0","0","1","0","0","NA","NA","NA","NA","0","NA","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","?","?","1","0","1","0","?","?","NA","1","NA","0","1","0","1","?","0","1","1","0","1","0","0","0","0","1","1","NA","NA","0","0","0","0","0","1","1","1","1","0","1","1","0","1","?","?","NA","?","1","1","1","1","1","0","0","1","0","NA","0","0","NA","NA","NA","NA","NA","NA","NA"
"16","adny1235","NA","NA","NA","NA","?","1","0","?","0","0","?","1","0","0","NA","0","0","0","?","?","?","NA","NA","NA","NA","NA","0","?","?","0","?","1","1","1","1","1","1","0","0","0","0","?","?","1","0","1","0","0","0","1","0","0","0","0","?","0","0","1","0","1","?","?","?","?","?","?","0","1","1","0","?","?","?","?","?","?","?","?","?","1","1","?","0","NA","1","0","0","NA","1","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","0","1","0","?","?","?","?","1","1","NA","NA","NA","0","?","0","1","0","NA","NA","0","?","?","?","?","?","0","0","0","1","0","0","?","?","NA","1","NA","0","1","0","0","?","0","?","0","0","0","1","?","?","1","1","1","NA","0","1","0","0","NA","0","1","0","0","1","1","1","0","1","1","?","?","NA","?","1","1","1","1","1","1","1","1","1","?","?","?","0","1","0","0","1","0","1"
"17","aeky1238","NA","NA","NA","NA","?","2","0","?","0","0","1","0","0","0","?","0","0","0","?","?","1","?","?","?","?","?","0","1","1","0","0","0","1","1","1","1","1","?","?","?","0","?","?","?","1","?","1","0","0","?","0","1","?","?","?","0","?","?","0","1","0","0","1","?","?","1","1","0","1","?","?","?","?","?","1","1","1","?","?","1","?","?","?","?","2","0","0","?","?","?","?","?","?","?","?","?","0","0","NA","NA","NA","?","?","?","?","?","?","NA","1","0","?","0","0","0","?","0","?","?","?","1","1","?","?","?","0","?","1","?","?","?","?","?","0","0","0","1","?","?","?","0","1","0","0","1","1","?","?","?","?","1","?","1","1","?","1","0","?","?","1","?","?","1","1","1","?","0","1","0","0","NA","?","?","?","?","NA","NA","NA","NA","NA","0","?","?","?","?","1","?","?","?","?","?","?","1","1","1","1","0","1","1","0","0","1","1","0"
"18","afad1236","?","?","?","?","2","?","?","?","0","0","0","?","?","?","?","?","?","?","?","?","?","1","0","0","?","?","?","0","NA","1","1","?","?","0","1","?","?","?","?","?","1","?","?","?","1","1","?","?","?","?","0","?","?","0","?","?","0","?","?","1","0","1","0","?","?","?","0","0","?","?","?","?","?","?","?","?","?","?","?","0","?","?","?","0","1","0","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","0","?","?","?","?","?","?","0","?","?","?","0","?","?","?","?","?","?","?","1","0","0","0","?","?","?","?","?","?","?","?","?","NA","0","NA","1","?","?","?","?","?","?","1","1","?","?","?","?","1","?","1","1","?","?","1","?","1","0","1","?","?","1","1","?","1","?","1","?","?","?","?","1","?","?","?","?","?","?","?","1","?","?","?","0","0","?","?","1","0","1"
"19","afar1241","NA","NA","NA","NA","1","1","0","1","0","1","0","1","0","0","NA","1","0","0","1","1","0","0","0","0","0","NA","0","0","NA","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","1","0","1","1","?","0","0","?","0","0","1","0","0","1","0","1","0","0","0","1","0","0","1","NA","0","?","0","1","1","0","1","1","0","0","1","1","0","0","NA","NA","0","1","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","NA","NA","1","0","0","1","0","?","0","0","NA","1","0","1","0","NA","NA","0","0","1","0","1","NA","NA","0","1","0","0","0","0","?","?","1","0","1","0","NA","NA","0","NA","1","NA","1","1","0","0","1","1","0","1","0","1","1","0","1","1","1","0","0","1","0","0","NA","1","0","0","0","1","1","0","1","1","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","0","0","0","0","1","0","1"
"20","aghe1239","NA","NA","NA","NA","2","2","0","1","1","0","0","1","0","0","NA","1","0","0","?","0","0","0","0","1","1","NA","0","0","NA","0","0","1","0","0","NA","NA","NA","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1","1","?","0","0","1","0","0","?","NA","0","0","1","0","1","0","0","0","1","0","1","2","0","0","1","?","?","1","0","NA","NA","NA","0","?","0","0","1","0","?","?","?","?","?","?","NA","NA","NA","?","0","1","0","0","0","?","NA","?","1","1","1","NA","NA","0","?","1","1","0","NA","NA","0","1","0","0","0","0","0","0","1","0","1","0","1","0","NA","NA","NA","NA","1","0","1","1","0","1","0","1","0","0","?","0","1","1","1","1","1","1","1","1","NA","0","0","0","0","NA","NA","NA","NA","NA","0","0","0","0","0","1","?","1","1","1","1","0","1","1","NA","0","1","1","0","0","0","1","0","1"
"21","aghu1254","?","?","?","?","2","?","?","1","0","0","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","0","?","2","0","?","?","?","?","1","0","1","?","?","?","?","0","0","?","?","?","0","0","0","?","?","0","0","0","0","0","?","?","?","?","1","0","0","?","?","0","?","?","0","?","?","?","?","?","0","0","1","1","?","?","?","?","?","?","2","?","?","?","?","?","?","?","?","?","?","?","1","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","0","1","?","?","?","?","?","0","?","?","NA","NA","?","?","0","?","0","?","?","?","0","0","?","?","?","?","?","?","1","?","0","?","?","NA","NA","NA","NA","?","0","?","?","?","?","?","?","?","?","?","?","1","?","0","?","?","?","?","?","?","0","0","0","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"22","aghu1255","NA","NA","NA","NA","2","2","1","1","0","0","0","1","1","0","NA","1","0","0","1","1","1","0","0","0","0","NA","0","1","1","0","0","0","1","?","0","1","1","0","0","0","0","1","1","1","1","0","1","0","1","1","0","1","1","1","?","0","?","1","0","1","0","0","1","1","?","1","1","0","0","1","0","?","?","0","1","1","0","?","?","1","0","0","1","0","2","0","0","0","?","0","0","1","0","0","1","0","0","0","0","1","0","?","?","?","?","?","?","NA","NA","NA","0","0","0","1","0","?","?","?","?","1","1","0","NA","NA","0","0","1","0","0","NA","NA","0","0","1","1","1","0","0","0","1","0","1","0","NA","NA","NA","1","NA","0","0","?","1","0","1","NA","0","1","0","NA","?","?","1","1","1","1","0","1","1","0","NA","0","1","0","0","1","1","0","0","1","1","0","0","0","0","1","?","0","1","0","1","NA","NA","1","NA","0","1","0","0","0","0","0","0","0"
"23","aghw1237","1","?","1","0","1","1","?","1","0","1","0","0","0","0","NA","1","0","?","1","1","0","1","0","0","0","NA","0","0","NA","0","0","0","1","1","1","1","0","0","0","0","?","0","0","1","1","1","?","1","?","?","0","1","0","1","1","0","1","?","0","1","0","1","0","?","?","?","0","1","1","1","?","NA","NA","0","0","0","?","?","1","0","0","0","0","0","1","0","0","0","1","0","1","1","1","0","1","0","?","?","?","?","?","0","1","0","0","0","1","?","?","?","0","?","0","1","?","0","NA","NA","NA","?","?","0","NA","NA","0","1","?","1","0","NA","NA","0","1","0","1","0","?","?","?","?","?","?","?","?","?","?","?","?","?","1","?","?","?","?","1","1","1","0","1","0","0","1","1","1","1","1","1","0","1","1","?","?","0","0","1","1","1","0","1","1","0","0","0","0","1","1","1","1","0","1","1","1","1","?","?","?","0","0","0","0","1","0","1"
"24","agob1244","NA","NA","NA","NA","NA","NA","1","1","1","0","0","1","0","0","NA","0","0","0","1","1","0","NA","NA","NA","NA","NA","0","0","1","0","0","0","1","0","1","1","1","0","0","0","0","1","0","1","0","1","1","1","1","1","0","1","0","1","1","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","1","NA","0","0","0","0","1","0","1","1","0","0","NA","NA","0","0","NA","NA","0","0","0","NA","NA","NA","1","?","0","0","0","1","1","0","0","0","NA","NA","NA","NA","NA","0","0","0","1","1","1","0","NA","0","1","1","NA","NA","NA","1","1","1","1","1","1","0","1","0","0","0","1","0","0","1","1","0","1","0","NA","NA","0","0","1","1","1","1","1","0","1","1","0","0","0","1","1","0","1","1","1","NA","1","1","1","0","NA","1","1","0","1","1","1","1","1","1","1","0","0","NA","0","1","0","1","1","1","1","1","1","1","NA","0","1","0","0","0","0","0","0","0"
"25","agua1253","?","1","1","?","NA","1","0","1","0","0","0","1","0","1","NA","0","?","?","1","1","1","?","?","?","?","NA","0","?","1","1","0","?","?","0","0","1","1","0","0","0","0","1","?","1","1","?","0","0","0","1","0","1","?","?","?","0","1","?","0","1","0","0","1","1","1","0","1","0","1","0","0","?","?","0","1","1","0","1","0","1","1","0","0","?","2","0","0","?","1","0","1","?","?","?","?","?","0","0","NA","NA","NA","1","0","0","0","NA","NA","NA","1","0","?","0","0","0","0","?","?","?","?","1","0","?","NA","NA","0","0","0","1","0","NA","NA","0","0","1","0","0","0","0","0","1","0","0","0","NA","NA","NA","0","NA","1","1","1","0","0","0","1","1","?","0","1","?","?","1","1","1","?","0","?","0","0","0","0","1","0","0","1","1","1","0","1","1","1","0","?","1","1","0","1","1","1","?","1","1","1","1","1","0","0","0","0","0","1","0","1"
"26","agus1235","?","?","?","0","?","1","?","?","0","0","0","0","0","0","?","?","?","?","?","?","?","0","0","0","0","?","0","0","2","0","1","1","0","?","0","0","1","0","1","0","?","?","?","?","0","?","0","0","0","?","0","0","?","0","?","0","1","?","?","2","1","0","0","?","?","?","0","1","?","0","?","1","?","0","?","?","?","?","?","?","?","?","0","0","NA","0","0","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","0","?","?","0","?","1","0","0","0","NA","NA","0","?","?","?","?","?","?","?","?","?","?","?","?","?","?","1","1","0","0","?","?","NA","0","NA","1","1","?","?","?","1","1","1","1","?","0","1","?","1","1","?","1","?","1","?","?","1","0","1","0","?","1","1","0","0","1","1","?","?","0","?","1","?","?","?","?","?","1","1","?","?","?","?","?","?","?","?","?","?","?"
"27","agut1237","1","1","1","0","1","NA","0","1","1","0","0","0","0","0","NA","0","0","?","1","1","1","NA","NA","NA","NA","NA","0","?","NA","0","0","NA","NA","1","1","1","1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0","?","?","?","1","?","0","2","1","0","0","?","1","0","0","1","1","0","1","NA","NA","0","?","0","0","1","0","1","1","0","0","NA","NA","0","0","NA","?","?","?","?","?","?","?","?","1","0","NA","NA","NA","?","?","?","?","?","?","NA","NA","NA","0","0","0","1","?","?","NA","NA","NA","0","1","NA","?","?","0","0","0","1","0","NA","NA","0","1","0","0","0","?","?","?","0","0","1","0","?","?","NA","NA","NA","NA","0","0","1","?","1","NA","1","0","0","NA","0","0","1","1","1","NA","1","0","1","1","0","0","0","?","0","NA","NA","NA","NA","NA","0","?","?","NA","?","1","?","?","1","1","?","NA","NA","1","NA","0","0","0","0","0","0","1","1","1"
